Profession: ,Field of work / stream: ,Hobbies,What you do from 6:00 am to 7:00 am?,What you do from 7:00 am to 8:00 am?,What you do from 8:00 am to 9:00 am?,What you do from 9:00 am to 10:00 am?,What you do from 10:00 am to 11:00 am?,What you do from 11:00 am to 12:00 pm?,What you do from 12:00 pm to 1:00 pm?,What you do from 1:00 pm to 2:00 pm?,What you do from 2:00 pm to 3:00 pm?,What you do from 3:00 pm to 4:00 pm?,What you do from 4:00 pm to 5:00 pm?,What you do from 5:00 pm to 6:00 pm?,What you do from 6:00 pm to 7:00 pm?,What you do from 7:00 pm to 8:00 pm?,What you do from 8:00 pm to 9:00 pm?,What you do from 9:00 pm to 10:00 pm?,What you do from 10:00 pm to 11:00 pm?,What you do from 11:00 pm to 6:00 am?
Student,Computer, ,Sleep,Wake up,Breakfast,Attend lecture,Attend lecture,Attend lecture,Attend lecture,Lunch,Watch TV,Complete assignments or take a nap,"Complete the assignments, projects etc",Go for walk,Walk,Social media, ,Dinner, , Sleep
Student,Information Technology,Playing Cricket and Football,Sleep,Sleep,Sleep,Sleep,Get Ready ,Study,Study,Lunch,Sleep,Sleep,Sleep,Eat ,watch series,watch series,Dinner,watch TV,Watch TV,Study till 4am and then sleep
Engineering,Computer ,"Music, Sports",Morning activities,prayer and pooja,do my work,lectures,lectures,lectures,lectures,lectures,lunch,sleep,do my work,do my work,go to temple,temple,dinner,timepass,prayer,SLEEP
Student,Information Technology,"Singing , Dancing , Reading books , Illustration Art , Playing Ukulele",I sleep at this hour,I wake up and take time to freshen up and have some beverage.,I have to have a bath and get ready for my further day,I start preparing for the online lectures ,I have breakfast along with the lectures,I help my mom in some of the chores ,I still have to attend one last lecture . My College's schedule is from 9.30 AM - 1 PM,After my lectures are done . I watch some Netflix or Surf through Instagram,I have my lunch,I take a nap for an hour after having my lunch,"After I wake up , I start working on my internship. Timings may vary.",I take a break and eat something with some juice or fruits.,I spend an hour on self studies where I'm keeping myself up to date with the syllabus.,I believe in spending some me time . So I either spend some time with my family or if everyone's busy I end up watching some movie.,"I am also a part of a Rotaract Club , So I have to attend some meetings and work related stuff.",I keep this hour for either practising Ukulele or spending some time on Illustration Art.,After that I have dinner with my family where there's a no phone zone.,"I spend some time on my phone after dinner and while listening some music , I go to sleep."
Student,Information technology,"Singing, Dancing",Sleep,Sleep,Morning rituals,Attend Lecture,Attend Lecture,Attend lecture,Lunch,Tv,Internet surfing,Household work,Workout,Tea time,Play flute,Tv,Take Tuition,Take Tuition,Dinner,Sleep
Student,Medicine (MBBS),Spreading love,Sleep,Sleep,Sleep,Sleep,Eat food,Sleep,Sleep,Eat food,Sleep,Sleep,Sleep,Sleep,Eat snacks,Sleep,Sleep,Eat food,Think about what I'm gonna eat the next day,Sleep
Programmer ,IT,"Music, cricket, games",Wakes up at 7,Getting ready,Getting ready,Started working ,Workiy,Working ,Working ,Working ,Lunch,Working ,Working ,Working ,Working ,Working ,Dinner break,Dinner break,Personal working ,Sleeping 
Software Developer,IT - Development,"Exploring new things like new technology, Puzzle games, Sports",Sleep,"Wake-up, get ready for work, social media if I'm done with all my morning routine","News, tech news, stock market news","Preparing for work, setting up, talk to friends",Office work,Office work,Office work,Lunch,Office work,Office work,"Office work, snacks, YouTube videos for fun",Office work,Office work,"Learning, social media","Dinner, family time",Phone mostly game of YouTube,"Phone till 10:30, Sleep time",Sleep
BE,Computer Science,Anime,Sleep,Sleep,Breakfast,Work,Work,Work,Lunch,Work,Work,Work,Work,Work,Eat Snacks and use social media account,Attend Meeting,Watch Anime or tv series,Eat dinner,I try to something extra curricular,Sleep at 11:30 or 12
Student. ,IT,"Cooking, reading, writing, movies",Sleep,Sleep,"Take a bath,Breakfast",Study,Study,Study,Social media,Lunch,Sleep,Sleep,Read book,Go for a quick stroll,Previous pending stuff,Go at friend's place,At friend's place,Dinner,Social media,Sleep
